Date,Open_XXBTZ,High_XXBTZ,Low_XXBTZ,Close_XXBTZ,Vol_XXBTZ,Open_XETHZ,High_XETHZ,Low_XETHZ,Close_XETHZ,Vol_XETHZ,Open_XXLTC,High_XXLTC,Low_XXLTC,Close_XXLTC,Vol_XXLTC,Open_XXDOT,High_XXDOT,Low_XXDOT,Close_XXDOT,Vol_XXDOT,Open_XXXMR,High_XXXMR,Low_XXXMR,Close_XXXMR,Vol_XXXMR
2019-01-17 18:00:00,3643.9,3644.0,3576.0,3612.2,1473.06898369,122.40,122.71,117.74,119.78,32171.65643950,,,,,,,,,,,,,,,
2019-01-18 18:00:00,3612.2,3950.0,3606.1,3683.0,1871.37313760,120.00,126.49,119.37,123.30,40364.40808390,,,,,,,,,,,,,,,
2019-01-19 18:00:00,3683.0,3702.5,3468.7,3530.0,2048.98164693,123.25,123.97,112.77,117.21,46466.49675135,,,,,,,,,,,,,,,
2019-01-20 18:00:00,3534.8,3565.0,3488.0,3533.4,1547.13618753,117.60,118.13,113.51,115.68,37208.70357075,,,,,,,,,,,,,,,
2019-01-21 18:00:00,3531.7,3607.5,3440.0,3575.8,1985.34497321,115.75,119.71,110.92,117.88,49974.21796577,,,,,,,,,,,,,,,
2019-01-22 18:00:00,3575.7,3613.2,3524.2,3556.1,2110.96433853,117.83,118.89,115.00,116.59,32932.16421129,,,,,,,,,,,,,,,
2019-01-23 18:00:00,3556.1,3591.0,3531.3,3568.3,1735.04384450,116.48,117.33,113.68,116.36,35803.32738471,,,,,,,,,,,,,,,
2019-01-24 18:00:00,3571.2,3576.6,3511.6,3560.0,1149.97226983,116.39,117.01,114.12,115.08,20757.95976124,,,,,,,,,,,,,,,
2019-01-25 18:00:00,3560.0,3673.0,3535.6,3556.2,1443.40696500,115.07,117.50,114.80,115.00,16864.06859379,,,,,,,,,,,,,,,
2019-01-26 18:00:00,3555.8,3562.2,3470.8,3531.3,1170.10570545,114.79,115.57,110.21,111.34,56512.71690929,,,,,,,,,,,,,,,
2019-01-27 18:00:00,3533.5,3537.0,3373.8,3431.0,4223.88654216,111.46,112.20,101.00,105.43,116919.95347588,,,,,,,,,,,,,,,
2019-01-28 18:00:00,3431.0,3439.1,3344.5,3395.0,3060.27656387,105.54,106.00,102.00,104.01,58259.80650069,,,,,,,,,,,,,,,
2019-01-29 18:00:00,3390.5,3465.1,3371.3,3436.9,2130.91093966,103.79,109.89,102.91,107.50,80182.63989981,,,,,,,,,,,,,,,
2019-01-30 18:00:00,3435.1,3478.1,3395.2,3409.6,2200.63548929,107.69,110.74,104.20,105.74,67713.53752551,,,,,,,,,,,,,,,
2019-01-31 18:00:00,3409.6,3460.0,3373.5,3437.2,2824.67887843,105.90,107.78,102.87,105.69,80417.73206329,,,,,,,,,,,,,,,
2019-02-01 18:00:00,3436.6,3494.1,3414.0,3466.0,1347.49342036,105.84,110.20,105.03,109.34,32165.50003111,,,,,,,,,,,,,,,
2019-02-02 18:00:00,3467.7,3472.9,3388.6,3415.2,1300.82888033,109.47,110.33,104.41,106.00,48264.11885639,,,,,,,,,,,,,,,
2019-02-03 18:00:00,3416.6,3437.8,3396.9,3413.9,1359.62990401,105.96,108.12,105.38,106.03,30082.01157399,,,,,,,,,,,,,,,
2019-02-04 18:00:00,3411.0,3433.7,3397.8,3429.5,1429.38685442,106.03,106.03,106.03,106.03,0.00000000,,,,,,,,,,,,,,,
2019-02-05 18:00:00,3430.0,3445.0,3337.0,3367.4,2289.49121231,106.19,106.71,100.03,103.26,78290.01606222,,,,,,,,,,,,,,,
2019-02-06 18:00:00,3367.2,3382.4,3348.1,3357.1,1512.88380802,103.20,104.75,102.68,103.32,25617.89354077,,,,,,,,,,,,,,,
2019-02-07 18:00:00,3359.5,3704.9,3341.4,3622.1,4231.50646809,103.16,122.36,102.45,118.07,116776.95704949,,,,,,,,,,,,,,,
2019-02-08 18:00:00,3624.0,3744.2,3589.6,3625.8,1780.95916756,118.23,119.95,116.65,117.98,34137.85433004,,,,,,,,,,,,,,,
2019-02-09 18:00:00,3625.7,3656.9,3578.2,3650.9,1114.66941941,118.11,125.10,114.21,123.98,65308.90808130,,,,,,,,,,,,,,,
2019-02-10 18:00:00,3647.3,3650.7,3577.7,3591.7,1388.71175715,124.00,124.22,118.09,119.52,54078.41509583,,,,,,,,,,,,,,,
2019-02-11 18:00:00,3591.0,3620.0,3538.2,3588.9,1383.23014194,119.56,122.73,117.00,121.18,37784.22217058,,,,,,,,,,,,,,,
