Date,Ticker,Compound,Positive,Negative,Neutral,Sentiment Signal
2021-01-13,BTC,0.03245000000000001,0.09425,0.074,0.8315,1
2021-01-12,BTC,0.131,0.034600000000000006,0.0,0.9654000000000001,1
2021-01-11,BTC,0.4404,0.108,0.0,0.892,1
2021-01-10,BTC,0.176,0.0865,0.0275,0.8859999999999999,1
2021-01-09,BTC,0.19096666666666665,0.05266666666666667,0.0,0.9473333333333334,1
2021-01-08,BTC,0.04536666666666661,0.11066666666666668,0.125,0.7643333333333334,1
2021-01-07,BTC,0.0,0.0,0.0,1.0,0
2021-01-06,BTC,0.261825,0.0755,0.0,0.9245000000000001,1
2021-01-05,BTC,-0.008133333333333334,0.066,0.07566666666666666,0.8576666666666667,-1
2021-01-04,BTC,0.8126,0.32,0.0,0.68,1
2021-01-03,BTC,0.6246333333333335,0.19899999999999998,0.0,0.801,1
2021-01-02,BTC,0.29155,0.09725,0.0,0.90275,1
2021-01-01,BTC,0.5574,0.11,0.0,0.89,1
2020-12-31,BTC,0.5561499999999999,0.1695,0.0,0.8305,1
2020-12-30,BTC,0.22913333333333333,0.06833333333333333,0.0,0.9316666666666666,1
2020-12-29,BTC,0.4939,0.151,0.0,0.849,1
2020-12-28,BTC,0.6369,0.139,0.0,0.861,1
2020-12-27,BTC,-0.31260000000000004,0.0295,0.1095,0.861,-1
2020-12-26,BTC,0.0,0.0,0.0,1.0,0
2020-12-25,BTC,0.3359,0.139,0.0365,0.8245,1
2020-12-24,BTC,0.267075,0.079625,0.007375,0.9131250000000002,1
2020-12-23,BTC,0.10980000000000001,0.08174999999999999,0.02425,0.8939999999999999,1
2020-12-22,BTC,0.308025,0.096,0.02075,0.88325,1
2020-12-21,BTC,0.2023,0.067,0.0,0.933,1
2020-12-20,BTC,0.1531,0.094,0.073,0.833,1
2020-12-19,BTC,0.371375,0.097,0.0,0.903,1
2020-12-18,BTC,0.25895,0.07999999999999999,0.0,0.92,1
2020-12-17,BTC,0.24454999999999996,0.09866666666666668,0.029333333333333333,0.8720000000000002,1
2020-12-16,BTC,0.3437,0.1025,0.0,0.8975,1
2020-12-15,BTC,0.21907999999999994,0.09179999999999999,0.026600000000000002,0.8815999999999999,1
2020-12-14,BTC,0.42489999999999994,0.1845,0.0695,0.7455,1
2020-12-13,BTC,0.34,0.091,0.0,0.909,1
2020-12-12,BTC,0.34,0.091,0.0,0.909,1
2020-12-11,BTC,0.34,0.091,0.0,0.909,1
2020-12-10,BTC,0.0,0.0,0.0,1.0,0
2020-12-09,BTC,0.0,0.0,0.0,1.0,0
2020-12-08,BTC,0.0,0.0,0.0,1.0,0
2020-12-07,BTC,0.0,0.0,0.0,1.0,0
2020-12-06,BTC,0.0,0.0,0.0,1.0,0
2020-12-05,BTC,0.0,0.0,0.0,1.0,0
2020-12-04,BTC,-0.4019,0.0,0.231,0.769,-1
2020-12-03,BTC,-0.4019,0.0,0.231,0.769,-1
2020-12-02,BTC,0.5859,0.161,0.0,0.839,1
2020-12-01,BTC,0.5859,0.161,0.0,0.839,1
2020-11-30,BTC,0.5859,0.161,0.0,0.839,1
2020-11-29,BTC,0.5859,0.161,0.0,0.839,1
2020-11-28,BTC,0.5859,0.161,0.0,0.839,1
2020-11-27,BTC,0.5859,0.161,0.0,0.839,1
2020-11-26,BTC,0.5859,0.161,0.0,0.839,1
2020-11-25,BTC,0.5859,0.161,0.0,0.839,1
2020-11-24,BTC,0.5859,0.161,0.0,0.839,1
2020-11-23,BTC,0.5859,0.161,0.0,0.839,1
2020-11-22,BTC,0.5859,0.161,0.0,0.839,1
2020-11-21,BTC,0.5859,0.161,0.0,0.839,1
2020-11-20,BTC,0.5859,0.161,0.0,0.839,1
2020-11-19,BTC,0.5859,0.161,0.0,0.839,1
2020-11-18,BTC,0.5859,0.161,0.0,0.839,1
2020-11-17,BTC,0.5859,0.161,0.0,0.839,1
2020-11-16,BTC,0.5859,0.161,0.0,0.839,1
2020-11-15,BTC,0.5859,0.161,0.0,0.839,1
2020-11-14,BTC,0.5859,0.161,0.0,0.839,1
2020-11-13,BTC,0.5859,0.161,0.0,0.839,1
2020-11-12,BTC,0.5859,0.161,0.0,0.839,1
2020-11-11,BTC,0.5859,0.161,0.0,0.839,1
2020-11-10,BTC,0.5859,0.161,0.0,0.839,1
2020-11-09,BTC,0.5859,0.161,0.0,0.839,1
2020-11-08,BTC,0.5859,0.161,0.0,0.839,1
2020-11-07,BTC,0.5859,0.161,0.0,0.839,1
2020-11-06,BTC,0.5859,0.161,0.0,0.839,1
2020-11-05,BTC,0.5859,0.161,0.0,0.839,1
2020-11-04,BTC,0.5859,0.161,0.0,0.839,1
2020-11-03,BTC,0.5859,0.161,0.0,0.839,1
2020-11-02,BTC,0.5859,0.161,0.0,0.839,1
2020-11-01,BTC,0.5859,0.161,0.0,0.839,1
2020-10-31,BTC,0.0,0.0,0.0,1.0,0
2020-10-30,BTC,0.0,0.0,0.0,1.0,0
2020-10-29,BTC,0.0,0.0,0.0,1.0,0
2020-10-28,BTC,0.0,0.0,0.0,1.0,0
2020-10-27,BTC,0.0,0.0,0.0,1.0,0
2020-10-26,BTC,0.0,0.0,0.0,1.0,0
2020-10-25,BTC,0.0,0.0,0.0,1.0,0
2020-10-24,BTC,0.0,0.0,0.0,1.0,0
2020-10-23,BTC,0.0,0.0,0.0,1.0,0
2020-10-22,BTC,0.0,0.0,0.0,1.0,0
