Date,Ticker,Compound,Positive,Negative,Neutral,Sentiment Signal
2021-01-14,DOGE,0.0,0.0,0.0,1.0,0
2021-01-13,DOGE,0.2732,0.091,0.0,0.909,1
2021-01-12,DOGE,0.0772,0.126,0.0,0.874,1
2021-01-11,DOGE,0.8225,0.281,0.0,0.719,1
2021-01-10,DOGE,0.7263,0.276,0.0,0.724,1
2021-01-09,DOGE,0.0,0.0,0.0,1.0,0
2021-01-08,DOGE,0.0,0.0,0.0,1.0,0
2021-01-07,DOGE,0.34,0.112,0.0,0.888,1
2021-01-06,DOGE,0.1531,0.062,0.0,0.938,1
2021-01-05,DOGE,0.68465,0.2515,0.0245,0.724,1
2021-01-04,DOGE,0.1591,0.063,0.0,0.937,1
2021-01-03,DOGE,0.8442,0.305,0.0,0.695,1
2021-01-02,DOGE,0.5075000000000001,0.21650000000000003,0.0,0.7835000000000001,1
2021-01-01,DOGE,0.0,0.0,0.0,1.0,0
2020-12-31,DOGE,0.0,0.0,0.0,1.0,0
2020-12-30,DOGE,0.8625,0.304,0.0,0.696,1
2020-12-29,DOGE,0.0,0.0,0.0,1.0,0
2020-12-28,DOGE,0.08895,0.033,0.0,0.9670000000000001,1
2020-12-27,DOGE,0.3612,0.098,0.0,0.902,1
2020-12-26,DOGE,0.872,0.229,0.0,0.771,1
2020-12-25,DOGE,0.5719,0.134,0.0,0.866,1
2020-12-24,DOGE,0.0,0.0,0.0,1.0,0
2020-12-23,DOGE,0.4215,0.101,0.0,0.899,1
2020-12-22,DOGE,-0.7469,0.0,0.203,0.797,-1
2020-12-21,DOGE,-0.3182,0.0,0.091,0.909,-1
2020-12-20,DOGE,0.25043333333333334,0.06166666666666667,0.0,0.9383333333333334,1
2020-12-19,DOGE,0.3612,0.106,0.0,0.894,1
2020-12-18,DOGE,0.6486,0.194,0.0,0.806,1
2020-12-17,DOGE,0.2263,0.079,0.0,0.921,1
2020-12-16,DOGE,0.5386,0.155,0.0,0.845,1
2020-12-15,DOGE,0.0,0.0,0.0,1.0,0
2020-12-14,DOGE,0.5106,0.355,0.0,0.645,1
2020-12-13,DOGE,0.0,0.086,0.086,0.828,0
2020-12-12,DOGE,0.5562,0.473,0.0,0.527,1
2020-12-11,DOGE,-0.8481,0.088,0.367,0.544,-1
2020-12-10,DOGE,0.0,0.0,0.0,1.0,0
2020-12-09,DOGE,0.1531,0.094,0.073,0.833,1
2020-12-08,DOGE,0.8331,0.495,0.0,0.505,1
2020-12-07,DOGE,-0.5362,0.06,0.145,0.795,-1
2020-12-06,DOGE,0.0,0.0,0.0,1.0,0
2020-12-05,DOGE,0.7096,0.259,0.07,0.671,1
2020-12-04,DOGE,-0.5362,0.06,0.145,0.795,-1
2020-12-03,DOGE,0.3612,0.121,0.056,0.823,1
2020-12-02,DOGE,0.0,0.0,0.0,1.0,0
2020-12-01,DOGE,0.0,0.0,0.0,1.0,0
2020-11-30,DOGE,0.8122,0.345,0.079,0.576,1
2020-11-29,DOGE,0.34,0.091,0.0,0.909,1
2020-11-28,DOGE,0.296,0.112,0.071,0.816,1
2020-11-27,DOGE,-0.6784,0.0,0.478,0.522,-1
2020-11-26,DOGE,0.0,0.0,0.0,1.0,0
2020-11-25,DOGE,-0.2263,0.071,0.106,0.824,-1
2020-11-24,DOGE,-0.0366,0.079,0.084,0.837,-1
2020-11-23,DOGE,-0.5574,0.0,0.135,0.865,-1
2020-11-22,DOGE,0.0,0.0,0.0,1.0,0
2020-11-21,DOGE,0.4404,0.104,0.0,0.896,1
2020-11-20,DOGE,0.4767,0.227,0.0,0.773,1
2020-11-19,DOGE,0.0,0.0,0.0,1.0,0
2020-11-18,DOGE,0.0,0.0,0.0,1.0,0
2020-11-17,DOGE,0.0,0.0,0.0,1.0,0
2020-11-16,DOGE,0.7906,0.235,0.0,0.765,1
2020-11-15,DOGE,0.4588,0.214,0.0,0.786,1
2020-11-14,DOGE,0.7269,0.173,0.0,0.827,1
2020-11-13,DOGE,0.9508,0.446,0.0,0.554,1
2020-11-12,DOGE,0.0,0.0,0.0,1.0,0
2020-11-11,DOGE,0.0,0.0,0.0,1.0,0
2020-11-10,DOGE,-0.3071,0.054,0.125,0.821,-1
2020-11-09,DOGE,0.5106,0.524,0.0,0.476,1
2020-11-08,DOGE,0.34,0.094,0.0,0.906,1
2020-11-07,DOGE,0.4753,0.11,0.0,0.89,1
2020-11-06,DOGE,0.4939,0.13,0.0,0.87,1
2020-11-05,DOGE,0.34,0.088,0.0,0.912,1
2020-11-04,DOGE,0.0,0.0,0.0,1.0,0
2020-11-03,DOGE,0.8011,0.444,0.0,0.556,1
2020-11-02,DOGE,0.0,0.0,0.0,1.0,0
2020-11-01,DOGE,0.6486,0.36,0.0,0.64,1
2020-10-31,DOGE,0.6486,0.36,0.0,0.64,1
2020-10-30,DOGE,0.0,0.0,0.0,1.0,0
2020-10-29,DOGE,0.0,0.0,0.0,1.0,0
2020-10-28,DOGE,0.2023,0.065,0.0,0.935,1
2020-10-27,DOGE,0.2617,0.201,0.143,0.656,1
2020-10-26,DOGE,0.2023,0.153,0.0,0.847,1
2020-10-25,DOGE,0.8689,0.329,0.0,0.671,1
2020-10-24,DOGE,0.0,0.0,0.0,1.0,0
2020-10-23,DOGE,0.3182,0.133,0.091,0.777,1
2020-10-22,DOGE,0.0,0.0,0.0,0.0,0
2020-10-21,DOGE,-0.0772,0.065,0.075,0.86,-1
2020-10-20,DOGE,0.636,0.191,0.0,0.809,1
2020-10-19,DOGE,0.0,0.0,0.0,1.0,0
2020-10-18,DOGE,0.6597,0.19,0.0,0.81,1
2020-10-17,DOGE,-0.7096,0.0,0.185,0.815,-1
2020-10-16,DOGE,0.2023,0.153,0.0,0.847,1
2020-10-15,DOGE,0.0,0.0,0.0,1.0,0
2020-10-14,DOGE,0.765,0.355,0.0,0.645,1
2020-10-13,DOGE,0.636,0.191,0.0,0.809,1
2020-10-12,DOGE,-0.5994,0.0,0.157,0.843,-1
2020-10-11,DOGE,0.5106,0.623,0.0,0.377,1
2020-10-10,DOGE,0.0,0.0,0.0,1.0,0
2020-10-09,DOGE,0.296,0.087,0.0,0.913,1
2020-10-08,DOGE,0.0,0.0,0.0,1.0,0
2020-10-07,DOGE,0.3612,0.091,0.0,0.909,1
2020-10-06,DOGE,0.0,0.0,0.0,1.0,0
2020-10-05,DOGE,0.0,0.0,0.0,1.0,0
2020-10-04,DOGE,0.891,0.272,0.0,0.728,1
2020-10-03,DOGE,0.5423,0.134,0.0,0.866,1
2020-10-02,DOGE,0.4019,0.231,0.0,0.769,1
2020-10-01,DOGE,0.0,0.0,0.0,1.0,0
2020-09-30,DOGE,0.0,0.0,0.0,1.0,0
2020-09-29,DOGE,-0.4404,0.084,0.173,0.743,-1
2020-09-28,DOGE,0.0,0.0,0.0,1.0,0
2020-09-27,DOGE,0.0,0.0,0.0,1.0,0
2020-09-26,DOGE,0.0,0.0,0.0,1.0,0
2020-09-25,DOGE,-0.4574,0.0,0.077,0.923,-1
2020-09-24,DOGE,0.5697,0.071,0.0,0.929,1
2020-09-23,DOGE,0.4215,0.15,0.098,0.751,1
2020-09-22,DOGE,0.12334999999999999,0.18,0.065,0.755,1
2020-09-21,DOGE,0.8011,0.444,0.0,0.556,1
2020-09-20,DOGE,0.0,0.0,0.0,1.0,0
2020-09-19,DOGE,0.7324,0.246,0.0,0.754,1
2020-09-18,DOGE,0.0,0.0,0.0,1.0,0
2020-09-17,DOGE,0.636,0.191,0.0,0.809,1
2020-09-16,DOGE,0.0,0.0,0.0,1.0,0
2020-09-15,DOGE,0.5709,0.27,0.0,0.73,1
2020-09-14,DOGE,0.0,0.147,0.115,0.737,0
2020-09-13,DOGE,0.0,0.0,0.0,1.0,0
2020-09-12,DOGE,0.8777,0.325,0.0,0.675,1
2020-09-11,DOGE,0.0,0.0,0.0,1.0,0
2020-09-10,DOGE,-0.3818,0.0,0.14,0.86,-1
2020-09-09,DOGE,0.0,0.0,0.0,1.0,0
2020-09-08,DOGE,0.0,0.0,0.0,1.0,0
2020-09-07,DOGE,0.0,0.0,0.0,1.0,0
2020-09-06,DOGE,0.0,0.0,0.0,1.0,0
2020-09-05,DOGE,0.6249,0.231,0.0,0.769,1
2020-09-04,DOGE,0.296,0.109,0.0,0.891,1
2020-09-03,DOGE,0.6408,0.175,0.0,0.825,1
2020-09-02,DOGE,0.0,0.0,0.0,1.0,0
2020-09-01,DOGE,0.0,0.0,0.0,1.0,0
2020-08-31,DOGE,0.0,0.0,0.0,1.0,0
2020-08-30,DOGE,0.2732,0.19,0.098,0.712,1
2020-08-29,DOGE,0.2263,0.106,0.0,0.894,1
2020-08-28,DOGE,0.8074,0.317,0.0,0.683,1
2020-08-27,DOGE,0.7964,0.238,0.0,0.762,1
2020-08-26,DOGE,0.8074,0.317,0.0,0.683,1
2020-08-25,DOGE,0.5904,0.143,0.0,0.857,1
2020-08-24,DOGE,0.4939,0.206,0.094,0.699,1
2020-08-23,DOGE,0.3182,0.218,0.149,0.633,1
2020-08-22,DOGE,0.0,0.0,0.0,1.0,0
2020-08-21,DOGE,0.4389,0.286,0.154,0.56,1
2020-08-20,DOGE,0.0,0.0,0.0,1.0,0
2020-08-19,DOGE,0.6808,0.272,0.088,0.64,1
2020-08-18,DOGE,0.6222,0.199,0.07,0.731,1
2020-08-17,DOGE,0.8011,0.444,0.0,0.556,1
2020-08-16,DOGE,-0.1531,0.0,0.065,0.935,-1
2020-08-15,DOGE,-0.5059,0.0,0.132,0.868,-1
2020-08-14,DOGE,0.5106,0.136,0.0,0.864,1
2020-08-13,DOGE,0.6222,0.199,0.07,0.731,1
2020-08-12,DOGE,0.0,0.0,0.0,1.0,0
2020-08-11,DOGE,0.0,0.0,0.0,1.0,0
2020-08-10,DOGE,0.5859,0.239,0.099,0.662,1
2020-08-09,DOGE,0.802,0.275,0.0,0.725,1
2020-08-08,DOGE,0.4588,0.148,0.0,0.852,1
2020-08-07,DOGE,0.5859,0.231,0.0,0.769,1
2020-08-06,DOGE,0.0,0.0,0.0,1.0,0
2020-08-05,DOGE,-0.4404,0.0,0.108,0.892,-1
2020-08-04,DOGE,0.0,0.0,0.0,1.0,0
2020-08-03,DOGE,0.8957,0.289,0.0,0.711,1
2020-08-02,DOGE,0.0,0.0,0.0,1.0,0
2020-08-01,DOGE,-0.4767,0.0,0.114,0.886,-1
2020-07-31,DOGE,0.4753,0.119,0.0,0.881,1
2020-07-30,DOGE,0.0,0.0,0.0,1.0,0
2020-07-29,DOGE,0.39225,0.1585,0.0,0.8415,1
2020-07-28,DOGE,0.0,0.0,0.0,1.0,0
2020-07-27,DOGE,0.34,0.118,0.0,0.882,1
2020-07-26,DOGE,0.2023,0.153,0.0,0.847,1
2020-07-25,DOGE,-0.2003,0.0,0.062,0.938,-1
2020-07-24,DOGE,0.0,0.0,0.0,1.0,0
2020-07-23,DOGE,0.296,0.306,0.0,0.694,1
2020-07-22,DOGE,0.0,0.0,0.0,1.0,0
2020-07-21,DOGE,0.4445,0.131,0.0,0.869,1
2020-07-20,DOGE,0.0,0.0,0.0,1.0,0
2020-07-19,DOGE,0.0,0.0,0.0,1.0,0
2020-07-18,DOGE,0.0129,0.056,0.055,0.889,1
2020-07-17,DOGE,-0.5574,0.0,0.146,0.854,-1
2020-07-16,DOGE,0.5859,0.239,0.099,0.662,1
2020-07-15,DOGE,0.5859,0.173,0.0,0.827,1
2020-07-14,DOGE,0.0,0.0,0.0,1.0,0
2020-07-13,DOGE,0.4404,0.159,0.068,0.773,1
2020-07-12,DOGE,-0.5423,0.0,0.28,0.72,-1
2020-07-11,DOGE,0.6597,0.205,0.0,0.795,1
2020-07-10,DOGE,0.064,0.1225,0.1055,0.772,1
2020-07-09,DOGE,0.17,0.044,0.0,0.956,1
2020-07-08,DOGE,0.20413333333333336,0.10266666666666667,0.036,0.8613333333333334,1
2020-07-07,DOGE,0.3638333333333334,0.204,0.06,0.7360000000000001,1
2020-07-06,DOGE,0.0,0.0,0.0,1.0,0
2020-07-05,DOGE,-0.296,0.0,0.167,0.833,-1
2020-07-04,DOGE,0.0,0.0,0.0,1.0,0
2020-07-03,DOGE,0.4199,0.097,0.0,0.903,1
2020-07-02,DOGE,0.0,0.0,0.0,1.0,0
2020-07-01,DOGE,0.5267,0.134,0.0,0.866,1
2020-06-30,DOGE,0.0,0.0,0.0,1.0,0
2020-06-29,DOGE,0.8885,0.304,0.0,0.696,1
2020-06-28,DOGE,0.7778,0.291,0.0,0.709,1
2020-06-27,DOGE,0.765,0.423,0.0,0.577,1
2020-06-26,DOGE,0.0,0.0,0.0,1.0,0
2020-06-25,DOGE,0.5423,0.143,0.0,0.857,1
2020-06-24,DOGE,0.5256,0.124,0.0,0.876,1
2020-06-23,DOGE,0.6908,0.211,0.0,0.789,1
2020-06-22,DOGE,0.6486,0.167,0.041,0.792,1
2020-06-21,DOGE,-0.296,0.049,0.086,0.864,-1
2020-06-20,DOGE,0.6369,0.583,0.0,0.417,1
2020-06-19,DOGE,0.636,0.191,0.0,0.809,1
2020-06-18,DOGE,0.7425,0.399,0.0,0.601,1
2020-06-17,DOGE,0.0,0.0,0.0,1.0,0
2020-06-16,DOGE,0.9421,0.388,0.0,0.612,1
2020-06-15,DOGE,0.5106,0.767,0.0,0.233,1
2020-06-14,DOGE,-0.2023,0.072,0.1,0.828,-1
2020-06-13,DOGE,0.09505,0.039,0.0265,0.9339999999999999,1
2020-06-12,DOGE,0.0,0.0,0.0,1.0,0
2020-06-11,DOGE,0.0,0.0,0.0,1.0,0
2020-06-10,DOGE,0.0,0.0,0.0,1.0,0
2020-06-09,DOGE,0.0,0.0,0.0,0.0,0
2020-06-08,DOGE,0.0,0.0,0.0,1.0,0
2020-06-07,DOGE,0.8122,0.27,0.0,0.73,1
2020-06-06,DOGE,0.2732,0.08,0.0,0.92,1
2020-06-05,DOGE,0.5106,0.355,0.0,0.645,1
2020-06-04,DOGE,0.4239,0.1345,0.0,0.8654999999999999,1
2020-06-03,DOGE,0.0,0.0,0.0,1.0,0
2020-06-02,DOGE,0.5423,0.143,0.0,0.857,1
2020-06-01,DOGE,-0.4404,0.0,0.127,0.873,-1
2020-05-31,DOGE,0.8402,0.273,0.0,0.727,1
2020-05-30,DOGE,0.0,0.0,0.0,1.0,0
2020-05-29,DOGE,0.3182,0.095,0.0,0.905,1
2020-05-28,DOGE,0.0,0.0,0.0,1.0,0
2020-05-27,DOGE,0.0,0.0,0.0,1.0,0
2020-05-26,DOGE,-0.6486,0.0,0.169,0.831,-1
2020-05-25,DOGE,0.5267,0.152,0.0,0.848,1
2020-05-24,DOGE,0.0,0.0,0.0,1.0,0
