Date,Ticker,Compound,Positive,Negative,Neutral,Sentiment Signal
2021-01-14,XMR,0.3612,0.106,0.0,0.894,1
2021-01-13,XMR,0.0,0.0,0.0,1.0,0
2021-01-12,XMR,0.0,0.0,0.0,1.0,0
2021-01-11,XMR,0.0,0.0,0.0,1.0,0
2021-01-10,XMR,0.128,0.07,0.051,0.879,1
2021-01-09,XMR,0.3612,0.143,0.0,0.857,1
2021-01-08,XMR,0.5423,0.243,0.0,0.757,1
2021-01-07,XMR,-0.4404,0.0,0.162,0.838,-1
2021-01-06,XMR,0.3818,0.12,0.0,0.88,1
2021-01-05,XMR,0.0,0.0,0.0,1.0,0
2021-01-04,XMR,-0.2202,0.0,0.058,0.942,-1
2021-01-03,XMR,0.1779,0.103,0.082,0.815,1
2021-01-02,XMR,0.0,0.0,0.0,1.0,0
2021-01-01,XMR,0.10115,0.0765,0.0,0.9235,1
2020-12-31,XMR,0.5106,0.272,0.099,0.628,1
2020-12-30,XMR,0.0772,0.105,0.095,0.8,1
2020-12-29,XMR,0.34,0.231,0.0,0.769,1
2020-12-28,XMR,0.0,0.0,0.0,1.0,0
2020-12-27,XMR,-0.023849999999999996,0.0765,0.0355,0.888,-1
2020-12-26,XMR,0.3182,0.348,0.244,0.407,1
2020-12-25,XMR,0.2023,0.091,0.0,0.909,1
2020-12-24,XMR,0.5994,0.412,0.0,0.588,1
2020-12-23,XMR,-0.3309,0.079,0.168,0.753,-1
2020-12-22,XMR,0.0,0.0,0.0,1.0,0
2020-12-21,XMR,0.0,0.0,0.0,1.0,0
2020-12-20,XMR,0.4019,0.101,0.0,0.899,1
2020-12-19,XMR,0.0,0.0,0.0,1.0,0
2020-12-18,XMR,0.5574,0.18,0.0,0.82,1
2020-12-17,XMR,0.5574,0.18,0.0,0.82,1
2020-12-16,XMR,0.3612,0.143,0.0,0.857,1
2020-12-15,XMR,0.296,0.136,0.0,0.864,1
2020-12-14,XMR,0.34,0.088,0.0,0.912,1
2020-12-13,XMR,0.0,0.0,0.0,1.0,0
2020-12-12,XMR,-0.0516,0.077,0.084,0.839,-1
2020-12-11,XMR,0.1779,0.096,0.0,0.904,1
2020-12-10,XMR,0.3612,0.143,0.0,0.857,1
2020-12-09,XMR,0.1531,0.094,0.073,0.833,1
2020-12-08,XMR,0.0,0.0,0.0,1.0,0
2020-12-07,XMR,0.0772,0.056,0.0,0.944,1
2020-12-06,XMR,0.4939,0.19,0.065,0.744,1
2020-12-05,XMR,0.27513333333333334,0.13366666666666668,0.0,0.8663333333333334,1
2020-12-04,XMR,0.0,0.0,0.0,1.0,0
2020-12-03,XMR,-0.4226,0.099,0.233,0.669,-1
2020-12-02,XMR,0.34,0.118,0.0,0.882,1
2020-12-01,XMR,-0.2732,0.0,0.095,0.905,-1
2020-11-30,XMR,0.0,0.0,0.0,1.0,0
2020-11-29,XMR,0.5994,0.17,0.0,0.83,1
2020-11-28,XMR,0.0,0.0,0.0,1.0,0
2020-11-27,XMR,0.0,0.0,0.0,1.0,0
2020-11-26,XMR,0.4215,0.318,0.0,0.682,1
2020-11-25,XMR,-0.8225,0.0,0.192,0.808,-1
2020-11-24,XMR,0.4767,0.124,0.0,0.876,1
2020-11-23,XMR,0.1909,0.053,0.0,0.9470000000000001,1
2020-11-22,XMR,0.2023,0.153,0.0,0.847,1
2020-11-21,XMR,-0.2023,0.0,0.073,0.927,-1
2020-11-20,XMR,0.0,0.0,0.0,1.0,0
2020-11-19,XMR,0.0,0.0,0.0,1.0,0
2020-11-18,XMR,0.0,0.0,0.0,1.0,0
2020-11-17,XMR,0.0,0.0,0.0,1.0,0
