Date,Ticker,Compound,Positive,Negative,Neutral,Sentiment Signal
2021-01-13,NANO,0.4939,0.087,0.029,0.884,1
2021-01-12,NANO,0.794,0.133,0.0,0.867,1
2021-01-11,NANO,0.0,0.0,0.0,0.0,0
2021-01-10,NANO,0.0,0.0,0.0,1.0,0
2021-01-09,NANO,0.4019,0.104,0.0,0.896,1
2021-01-08,NANO,-0.7461,0.056,0.104,0.84,-1
2021-01-07,NANO,0.8126,0.251,0.0,0.749,1
2021-01-06,NANO,0.0,0.0,0.0,1.0,0
2021-01-05,NANO,0.0,0.0,0.0,1.0,0
2021-01-04,NANO,0.0,0.0,0.0,0.0,0
2021-01-03,NANO,0.0,0.0,0.0,0.0,0
2021-01-02,NANO,0.872,0.321,0.041,0.638,1
2021-01-01,NANO,0.8674,0.139,0.072,0.789,1
2020-12-31,NANO,0.0,0.0,0.0,1.0,0
2020-12-30,NANO,0.8812,0.133,0.048,0.819,1
2020-12-29,NANO,0.765,0.292,0.0,0.708,1
2020-12-28,NANO,0.8452,0.198,0.0,0.802,1
2020-12-27,NANO,0.0258,0.079,0.077,0.844,1
2020-12-26,NANO,0.368,0.099,0.0,0.901,1
2020-12-25,NANO,0.0258,0.074,0.072,0.854,1
2020-12-24,NANO,0.0,0.0,0.0,1.0,0
2020-12-23,NANO,-0.5719,0.051,0.163,0.785,-1
2020-12-22,NANO,0.3182,0.204,0.0,0.796,1
2020-12-21,NANO,-0.296,0.0,0.306,0.694,-1
2020-12-20,NANO,0.7096,0.123,0.0,0.877,1
2020-12-19,NANO,0.0,0.0,0.0,0.0,0
2020-12-18,NANO,0.0,0.0,0.0,1.0,0
2020-12-17,NANO,0.6996,0.324,0.103,0.573,1
2020-12-16,NANO,0.0,0.0,0.0,1.0,0
2020-12-15,NANO,0.3612,0.143,0.0,0.857,1
2020-12-14,NANO,0.0,0.0,0.0,1.0,0
2020-12-13,NANO,0.3818,0.064,0.0,0.936,1
2020-12-12,NANO,0.6908,0.161,0.0,0.839,1
2020-12-11,NANO,0.9785,0.164,0.058,0.779,1
2020-12-10,NANO,0.8636,0.185,0.0,0.815,1
2020-12-09,NANO,0.0,0.0,0.0,1.0,0
2020-12-08,NANO,0.0,0.0,0.0,1.0,0
2020-12-07,NANO,0.0,0.0,0.0,0.0,0
2020-12-06,NANO,0.0,0.0,0.0,1.0,0
