Date,Ticker,Compound,Positive,Negative,Neutral,Sentiment Signal
2021-01-14,DOT,-0.34,0.0,0.444,0.556,-1
2021-01-13,DOT,0.1531,0.096,0.0,0.904,1
2021-01-12,DOT,0.4019,0.109,0.0,0.891,1
2021-01-11,DOT,0.0,0.0,0.0,1.0,0
2021-01-10,DOT,0.2023,0.087,0.0,0.913,1
2021-01-09,DOT,0.7177,0.25,0.0,0.75,1
2021-01-08,DOT,0.0,0.0,0.0,1.0,0
2021-01-07,DOT,0.3612,0.106,0.0,0.894,1
2021-01-06,DOT,0.0,0.0,0.0,1.0,0
2021-01-05,DOT,0.0,0.0,0.0,1.0,0
2021-01-04,DOT,0.0,0.0,0.0,1.0,0
2021-01-03,DOT,0.25,0.2,0.0,0.8,1
2021-01-02,DOT,0.2023,0.265,0.0,0.735,1
2021-01-01,DOT,0.2023,0.153,0.0,0.847,1
2020-12-31,DOT,0.0,0.0,0.0,1.0,0
2020-12-30,DOT,0.4019,0.13,0.0,0.87,1
2020-12-29,DOT,0.5994,0.154,0.0,0.846,1
2020-12-28,DOT,0.2023,0.147,0.0,0.853,1
2020-12-27,DOT,0.7579,0.236,0.0,0.764,1
2020-12-26,DOT,0.0,0.0,0.0,1.0,0
2020-12-25,DOT,0.0,0.0,0.0,1.0,0
2020-12-24,DOT,-0.3818,0.052,0.115,0.833,-1
2020-12-23,DOT,0.0,0.0,0.0,1.0,0
2020-12-22,DOT,0.5093,0.121,0.0,0.879,1
2020-12-21,DOT,0.4003,0.097,0.0,0.903,1
2020-12-20,DOT,0.0,0.0,0.0,1.0,0
2020-12-19,DOT,0.6115,0.2,0.0,0.8,1
2020-12-18,DOT,0.5093,0.121,0.0,0.879,1
2020-12-17,DOT,0.7717,0.49,0.0,0.51,1
2020-12-16,DOT,0.3818,0.722,0.0,0.278,1
2020-12-15,DOT,0.296,0.239,0.0,0.761,1
2020-12-14,DOT,0.296,0.239,0.0,0.761,1
2020-12-13,DOT,0.4019,0.124,0.0,0.876,1
2020-12-12,DOT,0.4588,0.125,0.0,0.875,1
2020-12-11,DOT,0.0,0.0,0.0,1.0,0
2020-12-10,DOT,-0.2057,0.0,0.073,0.927,-1
2020-12-09,DOT,0.2023,0.265,0.0,0.735,1
2020-12-08,DOT,0.4404,0.42,0.0,0.58,1
2020-12-07,DOT,0.5984,0.182,0.0,0.818,1
2020-12-06,DOT,0.296,0.239,0.0,0.761,1
2020-12-05,DOT,0.4939,0.259,0.0,0.741,1
2020-12-04,DOT,0.0,0.0,0.0,1.0,0
2020-12-03,DOT,0.6808,0.228,0.0,0.772,1
2020-12-02,DOT,0.5106,0.117,0.0,0.883,1
2020-12-01,DOT,0.0,0.0,0.0,1.0,0
2020-11-30,DOT,0.0,0.0,0.0,1.0,0
2020-11-29,DOT,0.5994,0.17,0.0,0.83,1
2020-11-28,DOT,-0.4019,0.0,0.114,0.886,-1
2020-11-27,DOT,0.1761,0.178,0.141,0.681,1
2020-11-26,DOT,0.7264,0.141,0.0,0.859,1
