Date,Ticker,Compound,Positive,Negative,Neutral,Sentiment Signal
2021-01-14,XLM,0.0,0.0,0.0,1.0,0
2021-01-13,XLM,0.0,0.0,0.0,1.0,0
2021-01-12,XLM,-0.11515,0.0975,0.11249999999999999,0.7895000000000001,-1
2021-01-11,XLM,0.7351,0.256,0.0,0.744,1
2021-01-10,XLM,0.836,0.263,0.0,0.737,1
2021-01-09,XLM,0.2023,0.083,0.0,0.917,1
2021-01-08,XLM,0.0,0.0,0.0,1.0,0
2021-01-07,XLM,0.37703333333333333,0.10466666666666667,0.0,0.8953333333333333,1
2021-01-06,XLM,0.6249,0.132,0.0,0.868,1
2021-01-05,XLM,0.5345,0.2005,0.0485,0.7505,1
2021-01-04,XLM,0.1779,0.102,0.0,0.898,1
2021-01-03,XLM,0.0,0.0,0.0,1.0,0
2021-01-02,XLM,0.539,0.157,0.0,0.843,1
2021-01-01,XLM,0.0,0.0,0.0,1.0,0
2020-12-31,XLM,0.0,0.0,0.0,1.0,0
2020-12-30,XLM,-0.4019,0.0,0.105,0.895,-1
2020-12-29,XLM,-0.4939,0.0,0.189,0.811,-1
2020-12-28,XLM,0.0,0.0,0.0,1.0,0
2020-12-27,XLM,0.0,0.0,0.0,1.0,0
2020-12-26,XLM,-0.4522,0.0,0.11,0.89,-1
2020-12-25,XLM,0.7184,0.25,0.0,0.75,1
2020-12-24,XLM,0.6597,0.205,0.0,0.795,1
2020-12-23,XLM,0.0772,0.09,0.08,0.83,1
2020-12-22,XLM,0.128,0.061,0.0,0.939,1
2020-12-21,XLM,0.0,0.0,0.0,1.0,0
2020-12-20,XLM,0.7184,0.214,0.0,0.786,1
2020-12-19,XLM,0.3612,0.106,0.0,0.894,1
2020-12-18,XLM,0.6124,0.161,0.0,0.839,1
2020-12-17,XLM,0.2023,0.153,0.0,0.847,1
2020-12-16,XLM,0.0,0.0,0.0,1.0,0
2020-12-15,XLM,0.4939,0.118,0.0,0.882,1
2020-12-14,XLM,0.0,0.0,0.0,1.0,0
2020-12-13,XLM,0.6369,0.267,0.0,0.733,1
2020-12-12,XLM,0.128,0.091,0.0,0.909,1
2020-12-11,XLM,0.0,0.0,0.0,1.0,0
2020-12-10,XLM,0.0,0.0,0.0,1.0,0
2020-12-09,XLM,0.0,0.0,0.0,1.0,0
2020-12-08,XLM,0.6369,0.212,0.083,0.706,1
2020-12-07,XLM,0.0,0.0,0.0,1.0,0
2020-12-06,XLM,0.2342,0.084,0.0,0.916,1
2020-12-05,XLM,0.1779,0.075,0.0,0.925,1
2020-12-04,XLM,0.1111,0.111,0.095,0.794,1
2020-12-03,XLM,0.2023,0.073,0.0,0.927,1
2020-12-02,XLM,-0.2732,0.0,0.072,0.928,-1
2020-12-01,XLM,0.6808,0.237,0.0,0.763,1
2020-11-30,XLM,0.0,0.0,0.0,1.0,0
2020-11-29,XLM,0.5994,0.17,0.0,0.83,1
2020-11-28,XLM,0.0,0.0,0.0,1.0,0
2020-11-27,XLM,0.4215,0.128,0.0,0.872,1
2020-11-26,XLM,0.0,0.0,0.0,1.0,0
2020-11-25,XLM,-0.3182,0.089,0.145,0.766,-1
2020-11-24,XLM,0.0,0.0,0.0,1.0,0
2020-11-23,XLM,0.7088,0.228,0.0,0.772,1
2020-11-22,XLM,0.0,0.0,0.0,1.0,0
2020-11-21,XLM,0.4215,0.141,0.0,0.859,1
2020-11-20,XLM,-0.5574,0.0,0.135,0.865,-1
2020-11-19,XLM,0.0,0.0,0.0,1.0,0
2020-11-18,XLM,0.0,0.0,0.0,1.0,0
2020-11-17,XLM,0.0,0.0,0.0,1.0,0
2020-11-16,XLM,0.34,0.167,0.0,0.833,1
2020-11-15,XLM,0.4588,0.214,0.0,0.786,1
2020-11-14,XLM,0.4215,0.118,0.0,0.882,1
2020-11-13,XLM,0.0,0.0,0.0,1.0,0
2020-11-12,XLM,0.0,0.0,0.0,1.0,0
2020-11-11,XLM,0.0,0.0,0.0,1.0,0
2020-11-10,XLM,-0.3071,0.054,0.125,0.821,-1
2020-11-09,XLM,-0.2732,0.049,0.09,0.861,-1
2020-11-08,XLM,0.4767,0.186,0.0,0.814,1
2020-11-07,XLM,0.0,0.0,0.0,1.0,0
2020-11-06,XLM,-0.34,0.0,0.118,0.882,-1
2020-11-05,XLM,0.0,0.0,0.0,1.0,0
2020-11-04,XLM,0.0,0.0,0.0,1.0,0
2020-11-03,XLM,0.0,0.0,0.0,1.0,0
2020-11-02,XLM,0.6486,0.36,0.0,0.64,1
2020-11-01,XLM,0.0,0.0,0.0,1.0,0
2020-10-31,XLM,0.6486,0.36,0.0,0.64,1
2020-10-30,XLM,-0.4404,0.0,0.116,0.884,-1
2020-10-29,XLM,0.6486,0.36,0.0,0.64,1
2020-10-28,XLM,0.0,0.0,0.0,1.0,0
2020-10-27,XLM,0.34,0.107,0.0,0.893,1
2020-10-26,XLM,0.5574,0.122,0.0,0.878,1
2020-10-25,XLM,0.0,0.0,0.0,1.0,0
2020-10-24,XLM,0.0,0.0,0.0,1.0,0
2020-10-23,XLM,0.6486,0.36,0.0,0.64,1
2020-10-22,XLM,0.0,0.0,0.0,1.0,0
2020-10-21,XLM,0.26335,0.0805,0.0,0.9195,1
2020-10-20,XLM,0.0,0.0,0.0,1.0,0
2020-10-19,XLM,0.4019,0.101,0.0,0.899,1
2020-10-18,XLM,0.0,0.0,0.0,1.0,0
2020-10-17,XLM,0.296,0.078,0.0,0.922,1
2020-10-16,XLM,0.5574,0.18,0.0,0.82,1
2020-10-15,XLM,0.0,0.0,0.0,1.0,0
2020-10-14,XLM,0.0,0.0,0.0,1.0,0
2020-10-13,XLM,0.4588,0.133,0.0,0.867,1
2020-10-12,XLM,0.4767,0.146,0.0,0.854,1
2020-10-11,XLM,0.5106,0.121,0.0,0.879,1
2020-10-10,XLM,0.2732,0.068,0.0,0.932,1
2020-10-09,XLM,0.743,0.278,0.0,0.722,1
2020-10-08,XLM,0.0,0.0,0.0,1.0,0
2020-10-07,XLM,0.0,0.0,0.0,1.0,0
2020-10-06,XLM,0.0,0.0,0.0,1.0,0
2020-10-05,XLM,0.0,0.0,0.0,1.0,0
2020-10-04,XLM,0.0,0.0,0.0,1.0,0
2020-10-03,XLM,0.0,0.0,0.0,1.0,0
2020-10-02,XLM,0.2023,0.153,0.0,0.847,1
2020-10-01,XLM,0.0,0.0,0.0,1.0,0
2020-09-30,XLM,0.0,0.0,0.0,1.0,0
2020-09-29,XLM,0.0,0.0,0.0,1.0,0
2020-09-28,XLM,0.0865,0.14,0.089,0.771,1
2020-09-27,XLM,0.0,0.0,0.0,1.0,0
2020-09-26,XLM,0.7778,0.262,0.0,0.738,1
2020-09-25,XLM,0.0,0.0,0.0,1.0,0
2020-09-24,XLM,0.5719,0.139,0.0,0.861,1
2020-09-23,XLM,0.0,0.0,0.0,1.0,0
2020-09-22,XLM,0.5859,0.142,0.0,0.858,1
2020-09-21,XLM,0.0,0.0,0.0,1.0,0
2020-09-20,XLM,0.3818,0.115,0.0,0.885,1
2020-09-19,XLM,0.0,0.0,0.0,1.0,0
2020-09-18,XLM,0.0,0.0,0.0,1.0,0
2020-09-17,XLM,0.8728,0.343,0.0,0.657,1
2020-09-16,XLM,0.0,0.0,0.0,1.0,0
2020-09-15,XLM,0.0,0.0,0.0,1.0,0
2020-09-14,XLM,0.0,0.0,0.0,1.0,0
2020-09-13,XLM,0.0,0.0,0.0,1.0,0
2020-09-12,XLM,0.0,0.0,0.0,1.0,0
