Date,Ticker,Compound,Positive,Negative,Neutral,Sentiment Signal
2021-01-13,TRX,0.0,0.0,0.0,1.0,0
2021-01-12,TRX,0.5411,0.074,0.0,0.926,1
2021-01-11,TRX,0.0,0.0,0.0,1.0,0
2021-01-10,TRX,0.0,0.0,0.0,1.0,0
2021-01-09,TRX,0.7269,0.173,0.0,0.827,1
2021-01-08,TRX,0.34,0.091,0.0,0.909,1
2021-01-07,TRX,-0.9517,0.0,0.444,0.556,-1
2021-01-06,TRX,0.1779,0.078,0.0,0.922,1
2021-01-05,TRX,0.0,0.0,0.0,1.0,0
2021-01-04,TRX,0.875,0.13,0.0,0.87,1
2021-01-03,TRX,0.0,0.0,0.0,1.0,0
2021-01-02,TRX,0.0,0.0,0.0,1.0,0
2021-01-01,TRX,0.4754,0.083,0.0,0.917,1
2020-12-31,TRX,0.4939,0.348,0.0,0.652,1
2020-12-30,TRX,0.4019,0.062,0.0,0.938,1
2020-12-29,TRX,0.0,0.0,0.0,1.0,0
2020-12-28,TRX,0.4486,0.127,0.052,0.821,1
2020-12-27,TRX,0.9081,0.295,0.0,0.705,1
2020-12-26,TRX,0.9438,0.14,0.014,0.847,1
2020-12-25,TRX,0.3885,0.078,0.0,0.922,1
2020-12-24,TRX,0.0,0.0,0.0,1.0,0
2020-12-23,TRX,-0.2263,0.0,0.076,0.924,-1
2020-12-22,TRX,0.7783,0.175,0.0,0.825,1
2020-12-21,TRX,0.6674,0.171,0.086,0.743,1
2020-12-20,TRX,0.9153,0.299,0.0,0.701,1
2020-12-19,TRX,0.4854,0.095,0.061,0.844,1
2020-12-18,TRX,-0.4215,0.0,0.097,0.903,-1
2020-12-17,TRX,-0.7003,0.071,0.256,0.673,-1
2020-12-16,TRX,0.296,0.068,0.0,0.932,1
2020-12-15,TRX,0.9001,0.19,0.0,0.81,1
2020-12-14,TRX,-0.3382,0.182,0.19,0.628,-1
2020-12-13,TRX,0.4404,0.17,0.0,0.83,1
2020-12-12,TRX,0.9022,0.218,0.0,0.782,1
2020-12-11,TRX,0.2263,0.059,0.038,0.903,1
2020-12-10,TRX,-0.5475,0.072,0.08,0.848,-1
2020-12-09,TRX,0.0772,0.055,0.048,0.897,1
